,Unnamed: 0,Age,Weight (kg),Height (cm),Gender,BMI,BMR,Allergies,activity_level,Fitness Goals,calories_intake_per_day,carbs_intake_per_day,protein_intake_per_day,Work Out Level
0,0,53,89.46786512740795,178.72801005150103,Female,28.00798301719418,1599.1117239726914,No Allergy,1.6,Lose Weight,1918.9340687672297,351.80457927399215,95.9467034383615,Beginner
1,1,49,73.08414103271241,171.36133296289228,Male,24.88842896997356,1611.6602743041683,No Allergy,1.6,Healthy Lifestyle,2578.656438886669,354.5652603469171,96.6996164582501,Intermediate
2,2,45,76.27851848593673,154.10084010157777,Male,32.12123514816415,1594.3302438035664,Shellfish,1.9,Lose Weight,2271.920597420082,416.5187761936817,113.59602987100408,Advanced
3,3,21,66.72725172084733,154.8366627357381,Male,27.83271891398964,1606.1511357729987,No Allergy,1.9,Lose Weight,2288.765368476523,419.6069842206959,114.43826842382614,Beginner
4,4,57,46.01248659372479,154.92607713193868,Female,19.170200507922544,1106.2214504869191,Shellfish,1.6,Healthy Lifestyle,1769.9543207790707,243.36871910712225,66.37328702921515,Beginner
5,5,55,57.81610539603602,167.38178220207487,Female,20.636329707138923,1262.617287859173,Dairy,1.2,Healthy Lifestyle,1515.1407454310076,208.3318524967636,56.817777953662784,Advanced
6,6,31,54.05968828180696,158.6583490769408,Female,21.47571714758165,1304.7765029822317,Gluten,1.4,Healthy Lifestyle,1826.687104175124,251.1694768240796,68.50076640656715,Beginner
7,7,24,65.6347326965242,154.67724727447913,Female,27.433476809820647,1429.7874853010956,Egg,1.2,Lose Weight,1286.8087367709861,235.9149350746808,64.3404368385493,Advanced
8,8,57,51.989054497378426,170.0773276250088,Female,17.972937852594498,1208.4253479195356,Egg,1.4,Muscle Gain,1860.975035796085,232.62187947451065,63.442330765775615,Beginner
9,9,26,54.74844005663731,167.62944878426137,Female,19.48368571601049,1360.5878575373667,Shellfish,1.9,Healthy Lifestyle,2585.116929320997,355.4535777816371,96.94188484953736,Beginner
10,10,37,90.6264597192452,168.77013583879986,Male,31.817336049216483,1902.3635627491287,No Allergy,1.4,Lose Weight,1997.481740886585,366.20498582920726,99.87408704432924,Beginner
11,11,51,45.23428413428671,197.16850454038467,Female,11.63570325035264,1255.8724524558606,Egg,1.9,Muscle Gain,2624.7734256327494,328.0966782040936,89.48091223748007,Intermediate
12,12,55,99.8312437483545,176.16946194142466,Female,32.166604995712035,1678.3555040355675,Egg,1.4,Lose Weight,1762.2732792373458,323.0834345268468,88.11366396186729,Advanced
13,13,31,50.249863088148736,171.60689942237445,Male,17.063393006591934,1409.1139261199037,Peanuts,1.9,Muscle Gain,2945.048105590599,368.13101319882486,100.39936723604312,Intermediate
14,14,18,49.89856173694786,157.69308069592637,Male,20.06608984856253,1411.4361258496413,Shellfish,1.6,Healthy Lifestyle,2258.297801359426,310.5159476869211,84.68616755097848,Advanced
15,15,43,82.9829707113266,161.70711014177812,Female,31.73443322411356,1529.7151573868657,Shellfish,1.4,Lose Weight,1606.200915256209,294.4701677969716,80.31004576281043,Advanced
16,16,57,48.445383882525775,141.47314553135757,Female,24.20496071040828,1087.0412696178616,Peanuts,1.9,Healthy Lifestyle,2065.378412273937,283.9895316876664,77.45169046027264,Advanced
17,17,41,85.30642277316451,151.51230368730037,Male,37.16087467347744,1725.5626912874395,Gluten,1.9,Lose Weight,2458.9268350846014,450.8032530988436,122.94634175423003,Beginner
18,18,22,52.75030541696948,188.38191320994764,Male,14.864372217241716,1574.2086431656792,Peanuts,1.2,Muscle Gain,2077.9554089786966,259.7444261223371,70.83938894245556,Beginner
19,19,43,70.76914637288847,192.86381870194884,Male,19.02577839931272,1717.8987199082394,Egg,1.6,Healthy Lifestyle,2748.637951853183,377.9377183798127,103.07392319449436,Intermediate
20,20,46,76.10634836600856,163.07667619010087,Female,28.61786182396259,1457.3799461774138,No Allergy,1.6,Lose Weight,1748.8559354128965,320.62358815903104,87.44279677064482,Beginner
21,21,24,96.07879803885214,141.45773954112374,Male,48.01469047704812,1918.1373493843555,Gluten,1.2,Lose Weight,1726.3236144459197,316.4926626484187,86.31618072229598,Intermediate
22,22,42,78.21594468898004,198.13695491357373,Female,19.923440017411348,1602.82412686125,Gluten,1.4,Healthy Lifestyle,2243.9537776057496,308.5436444207906,84.14826666021561,Advanced
23,23,42,93.33898658584376,144.65873611472438,Female,44.603993987833306,1576.9913734427134,Peanuts,1.2,Lose Weight,1419.2922360984421,260.20357661804775,70.9646118049221,Advanced
24,24,29,72.11258042965343,140.60612540681686,Male,36.47560925588409,1564.5900358433812,Dairy,1.4,Lose Weight,1642.8195376355498,301.1835818998509,82.1409768817775,Beginner
